Case,AGRPOP,PARCL,APROG,PS,RQ,LRC,AUTH,DEM,PRAET
Angola,2,0,0,0,0,0,1,0,0
Benin,1,0,1,2,1,1,0,1,0
Botswana,1,0,0,2,2,1,0,1,0
BurkinaF,2,0,0,1,1,1,0,0,1
Burundi,2,0,1,0,0,1,1,0,0
Cameroon,1,1,1,1,1,0,0,0,1
CapeVerde,0,0,0,1,1,1,0,1,0
CenAfRep,2,1,2,0,1,1,0,1,0
Chad,2,1,1,0,0,0,1,0,0
Comoros,2,0,0,1,0,0,0,0,1
CongBraz,1,1,1,0,0,1,0,0,1
CongDemocRep,1,0,2,0,0,0,1,0,0
CotedIvoire,1,1,2,0,1,0,0,0,1
Dijbouti,0,1,0,1,1,0,0,0,1
EquatGuinea,2,1,1,2,0,0,0,0,1
Eritrea,2,0,0,1,0,0,0,0,1
Ethio,2,1,1,0,0,0,0,0,1
Gabon,1,0,1,2,1,0,0,0,1
Gambia,2,0,1,2,1,1,0,0,1
Ghana,1,0,2,1,1,1,0,1,0
GuinBiss,2,1,1,1,1,1,0,0,1
Guinea,2,1,2,0,1,0,1,0,0
Kenya,2,1,2,1,1,1,0,0,1
Lesotho,1,0,1,1,1,1,0,0,1
Liberia,2,0,1,0,0,0,1,0,0
Madagascar,2,0,2,2,1,1,0,1,0
Malawi,2,1,2,2,1,1,0,1,0
Mali,2,0,2,1,1,1,0,1,0
Mauritania,1,1,2,2,2,0,0,0,1
Mauritius,0,0,2,2,2,1,0,1,0
Mozamb,2,0,1,2,1,1,0,0,1
Namibia,1,1,0,2,2,1,0,1,0
Niger,2,1,2,1,1,1,0,0,1
Nigeria,1,1,1,0,0,0,0,0,1
Rwanda,2,0,0,0,1,0,1,0,0
SaoTomPrinc,0,0,1,2,1,1,0,1,0
Senegal,2,0,2,1,1,1,0,1,0
Seychelles,0,0,0,2,1,1,0,1,0
SierLeon,1,0,1,0,0,0,1,0,0
Somalia,2,0,2,0,0,0,1,0,0
SouthAfrica,0,1,1,1,2,1,0,1,0
Sudan,1,0,1,0,0,0,1,0,0
Swaziland,1,0,0,2,1,0,0,0,1
Tanzania,2,0,1,1,1,1,0,0,1
Togo,1,1,2,1,1,0,0,0,1
Uganda,2,1,2,0,2,1,0,0,1
Zambia,2,1,1,1,1,1,0,0,1
Zimbabwe,1,1,1,0,0,1,0,0,1
